url,address,price,price_nzd
https://www.anytimefitness.co.nz/gyms/nz-1045,"10-14 Lorne Street Auckland CBDAuckland, North Island 1010",Memberships starting at $16.99 per week,16.99
https://www.anytimefitness.co.nz/gyms/nz-1046,42 Hobson Street Auckland CBD Auckland North Island 1010,"
Memberships starting at $18.90 per week

Try Us For Free ",18.9
https://www.anytimefitness.co.nz/gyms/nz-1047,"123 test Auckland, South Island 12345",https://www.anytimefitness.co.nz/gyms/nz-1047,1047
https://www.anytimefitness.co.nz/gyms/nz-1048,"1 Waimairi Road Upper RiccartonChristchurch, South Island 8041",Memberships starting at $14.90 per week,14.9
https://www.anytimefitness.co.nz/gyms/nz-1049,"Tenancy A1, 9 Fifth Avenue 5 Cross Roads, Hamilton North Island 3214","
Memberships starting at $17.50 per week

Try Us For Free ",17.5
https://www.anytimefitness.co.nz/gyms/nz-1053,"945a New North Road Mt AlbertAuckland, North Island 1025",Memberships starting at $18.50 per week,18.5
https://www.anytimefitness.co.nz/gyms/nz-1054,"1 Alberto Lane SilverdaleAuckland, North Island 0932",Memberships starting at $19.95 per week,19.95
https://www.anytimefitness.co.nz/gyms/nz-1055,"230 Gloucester Street Taradale, North Island 4112",Memberships starting at $16.50 per week,16.5
https://www.anytimefitness.co.nz/gyms/nz-1057,"332 Hereford Street Hereford, Christchurch, South Island 8011",Memberships starting at $17.50 per week,17.5
https://www.anytimefitness.co.nz/gyms/nz-1059,"105 Pakowhai Road HastingsHastings, North Island 4120",Memberships starting at $16.50 per week,16.5
